0	0.601652	-nan	47	-nan	-nan	nan	-1	-1	2
1302	0.601652	32.1619	47	0.684295	-0.00440869	0.0261714	-1	-1	3
1303	0.601652	49.556	47	1.05438	0.0095109	0.0266908	-1	-1	3
1326	0.601652	61.0508	47	1.29895	-0.0023262	0.0264096	-1	-1	3
1337	0.601652	61.1607	47	1.30129	0.0556421	0.0282396	-1	-1	3
1341	0.601652	50.2957	47	1.07012	0.0492926	0.0279873	-1	-1	3
1343	0.601652	40.3326	47	0.858141	0.0116097	0.0267693	-1	-1	3
1345	0.601652	29.5802	47	0.629366	0.0170772	0.0269633	-1	-1	3
1349	0.601652	54.8219	47	1.16642	0.0483133	0.0280514	-1	-1	3
1351	0.601652	59.3929	47	1.26368	-0.00572342	0.0262696	-1	-1	3
1357	0.601652	58.0411	47	1.23492	-0.0027961	0.0262501	-1	-1	3
1359	0.601652	53.3821	47	1.13579	0.0444189	0.0278013	-1	-1	3
1362	0.601652	36.6319	47	0.779402	-0.0352394	0.0252305	-1	-1	3
1363	0.601652	48.8848	47	1.0401	-0.0216871	0.025625	-1	-1	3
1368	0.601652	45.6366	47	0.970992	-0.0266876	0.0255759	-1	-1	3
1369	0.601652	54.1499	47	1.15213	0.0275666	0.0272867	-1	-1	3
1376	0.601652	69.094	47	1.47008	-0.0233442	0.0256647	-1	-1	3
1382	0.601652	41.036	47	0.873106	-0.0142147	0.0259376	-1	-1	3
1383	0.601652	45.3747	47	0.96542	-0.00605167	0.0261665	-1	-1	3
1409	0.601652	37.6195	47	0.800415	0.0547849	0.0282623	-1	-1	3
1422	0.601652	43.8692	47	0.933388	0.0278174	0.0272571	-1	-1	3
1429	0.601652	54.1464	47	1.15205	0.0114935	0.0267573	-1	-1	3
1431	0.601652	39.0386	47	0.830609	0.0512613	0.0280367	-1	-1	3
1434	0.601652	36.2449	47	0.771168	-0.010724	0.0260236	-1	-1	3
1438	0.601652	35.9207	47	0.76427	-0.00836249	0.0260892	-1	-1	3
1439	0.601652	39.4058	47	0.838422	0.00203623	0.0264264	-1	-1	3
1443	0.601652	43.2369	47	0.919934	-0.00275543	0.0263221	-1	-1	3
1444	0.601652	53.9332	47	1.14752	-0.0313107	0.0253739	-1	-1	3
1445	0.601652	46.3895	47	0.987011	-0.0259004	0.0255528	-1	-1	3
1447	0.601652	65.9045	47	1.40222	0.0529846	0.0281174	-1	-1	3
1453	0.601652	60.2568	47	1.28206	-0.021227	0.0257137	-1	-1	3
1473	0.601652	53.9625	47	1.14814	-0.103118	0.0230664	-1	-1	3
1479	0.601652	84.6103	47	1.80022	0.107287	0.030033	-1	-1	3
1497	0.601652	49.2659	47	1.04821	0.00965278	0.0267546	-1	-1	3
1503	0.601652	65.5094	47	1.39382	0.0350922	0.0274537	-1	-1	3
1505	0.601652	36.1374	47	0.768882	0.0101492	0.0266965	-1	-1	3
1507	0.601652	38.7103	47	0.823623	0.022878	0.0271143	-1	-1	3
1509	0.601652	36.5122	47	0.776855	0.02767	0.0272576	-1	-1	3
1510	0.601652	33.4831	47	0.712405	-0.0272644	0.0255467	-1	-1	3
1511	0.601652	56.09	47	1.1934	0.00259849	0.026477	-1	-1	3
1514	0.601652	38.0424	47	0.809413	0.00704528	0.0266677	-1	-1	3
1516	0.601652	49.0956	47	1.04459	0.0400705	0.027642	-1	-1	3
1519	0.601652	43.4208	47	0.923846	-0.0105804	0.0260721	-1	-1	3
1520	0.601652	51.6736	47	1.09944	-0.0118189	0.0259621	-1	-1	3
1526	0.601652	73.3085	47	1.55975	0.0375696	0.027524	-1	-1	3
1528	0.601652	41.0047	47	0.87244	-0.0223742	0.025678	-1	-1	3
1536	0.601652	41.0821	47	0.874087	0.0247231	0.0271372	-1	-1	3
1539	0.601652	50.2835	47	1.06986	-0.0230899	0.0256247	-1	-1	3
1553	0.601652	47.6236	47	1.01327	0.0782299	0.0289452	-1	-1	3
1558	0.601652	39.3286	47	0.836778	0.0167377	0.0270319	-1	-1	3
1564	0.601652	47.7445	47	1.01584	-0.0186405	0.0257893	-1	-1	3
1570	0.601652	53.1939	47	1.13178	0.0218629	0.0271244	-1	-1	3
1576	0.601652	41.5316	47	0.883651	0.0016289	0.0264258	-1	-1	3
1579	0.601652	56.5062	47	1.20226	0.000599569	0.0264191	-1	-1	3
1581	0.601652	40.1582	47	0.85443	0.02585	0.0271865	-1	-1	3
1583	0.601652	58.106	47	1.2363	-0.00271777	0.0262158	-1	-1	3
1584	0.601652	36.0108	47	0.766188	0.00606801	0.0265166	-1	-1	3
1590	0.601652	65.6331	47	1.39645	-0.0359998	0.025216	-1	-1	3
1591	0.601652	35.6086	47	0.757631	-0.0138618	0.0259777	-1	-1	3
1595	0.601652	42.7702	47	0.910004	-0.0113031	0.0259705	-1	-1	3
1596	0.601652	65.5408	47	1.39448	-0.0394241	0.0251334	-1	-1	3
1598	0.601652	46.694	47	0.99349	-0.0192716	0.0257925	-1	-1	3
1602	0.601652	64.6879	47	1.37634	-0.0228521	0.0256131	-1	-1	3
1609	0.601652	44.915	47	0.955638	-0.0433982	0.0248535	-1	-1	3
1610	0.601652	50.671	47	1.07811	-0.0205665	0.025588	-1	-1	3
1621	0.601652	42.5308	47	0.904911	0.0216373	0.027045	-1	-1	3
1622	0.601652	66.0493	47	1.4053	-0.086461	0.0235645	-1	-1	3
1623	0.601652	59.7272	47	1.27079	-0.0857581	0.0236302	-1	-1	3
1640	0.601652	38.1068	47	0.810783	0.0445647	0.027847	-1	-1	3
1645	0.601652	40.1321	47	0.853875	0.0298017	0.0274111	-1	-1	3
1650	0.601652	43.7304	47	0.930435	-0.00139097	0.0263151	-1	-1	3
1654	0.601652	26.2671	47	0.558875	0.0336647	0.0274699	-1	-1	3
1656	0.601652	46.0401	47	0.979576	0.000665123	0.0263572	-1	-1	3
1659	0.601652	46.0087	47	0.978908	-0.0144106	0.0259253	-1	-1	3
1662	0.601652	58.8665	47	1.25248	0.000517148	0.0263801	-1	-1	3
1663	0.601652	61.0119	47	1.29813	0.0143553	0.0268169	-1	-1	3
1664	0.601652	35.32	47	0.751489	-0.0305583	0.0254059	-1	-1	3
1666	0.601652	41.6962	47	0.887153	0.00628327	0.0266074	-1	-1	3
1667	0.601652	61.878	47	1.31655	-0.0103603	0.026085	-1	-1	3
1668	0.601652	60.4875	47	1.28697	-0.00151631	0.0263788	-1	-1	3
1673	0.601652	60.6967	47	1.29142	0.00366972	0.0264174	-1	-1	3
1676	0.601652	45.3257	47	0.964376	-0.00904279	0.0259822	-1	-1	3
1680	0.601652	59.5637	47	1.26731	-0.0460344	0.0249514	-1	-1	3
1684	0.601652	39.8088	47	0.846996	0.0108966	0.026758	-1	-1	3
1685	0.601652	49.6583	47	1.05656	-0.0295074	0.0254206	-1	-1	3
1688	0.601652	33.4935	47	0.712627	-0.00813333	0.02611	-1	-1	3
1691	0.601652	53.6335	47	1.14114	-0.0577858	0.0245082	-1	-1	3
1695	0.601652	49.0999	47	1.04468	0.0359502	0.0276263	-1	-1	3
1701	0.601652	35.3424	47	0.751967	-0.0326532	0.0253619	-1	-1	3
1714	0.601652	54.835	47	1.1667	-0.0596812	0.0244798	-1	-1	3
1734	0.601652	38.1737	47	0.812207	-0.00685519	0.0261957	-1	-1	3
1742	0.601652	51.4079	47	1.09379	-0.0399476	0.025193	-1	-1	3
1745	0.601652	43.7602	47	0.931068	-0.0133299	0.0259643	-1	-1	3
1747	0.601652	52.1218	47	1.10897	-0.0612497	0.0244146	-1	-1	3
1748	0.601652	57.7425	47	1.22856	-0.0357237	0.0252141	-1	-1	3
1751	0.601652	37.7098	47	0.802336	0.00651304	0.0265776	-1	-1	3
1753	0.601652	47.0885	47	1.00188	-0.0253448	0.0255448	-1	-1	3
1754	0.601652	34.1388	47	0.726357	-0.018703	0.0258317	-1	-1	3
1756	0.601652	29.1606	47	0.620439	-0.00795149	0.0260973	-1	-1	3
1760	0.601652	45.1355	47	0.96033	0.0404382	0.0276595	-1	-1	3
1765	0.601652	59.6612	47	1.26939	-0.0362149	0.0251962	-1	-1	3
1766	0.601652	52.8284	47	1.12401	-0.00146067	0.0263022	-1	-1	3
